Symbol,Name,Sector,Industry,Last Sale
IP,,Consumer Cyclical,Packaging & Containers,40.83
IPG,,,,
INTU,Intuit Inc.,Technology,Software - Application,316.07
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,353.33
IVZ,Invesco Ltd.,Financial Services,Asset Management,29.6
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,29.72
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,235.02
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,122.32
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,271.75
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,154.04
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,134.93
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,256.35
JCI,,Industrials,Building Products & Equipment,146.66
JPM,,Financial Services,Banks - Diversified,351.79
JNPR,,,,
K,,,,
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,19.24
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,31.12
KEY,,Financial Services,Banks - Regional,22.59
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,319.08
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,109.31
KIM,,Real Estate,REIT - Retail,25.48
KMI,,Energy,Oil & Gas Midstream,32.18
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,182.82
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,25.85
KR,,Consumer Defensive,Grocery Stores,57.74
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,277.06
LH,,Healthcare,Diagnostics & Research,309.2
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,293.02
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,52.55
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,48.89
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,115.6
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,82.35
LIN,Linde plc,Basic Materials,Specialty Chemicals,478.38
LYV,,Communication Services,Entertainment,174.13
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,22.45
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,582.74
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,116.01
LOW,,Consumer Cyclical,Home Improvement Retail,207.81
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,118.87
LYB,,Basic Materials,Specialty Chemicals,62.08
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,246.29
MRO,,,,
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,316.47
MKTX,MarketAxess Holdings Inc.,Financial Services,Capital Markets,162.3
MAR,,Consumer Cyclical,Lodging,372.83
MMC,,,,
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,525.14
MAS,,Industrials,Building Products & Equipment,71.48
MA,,Financial Services,Credit Services,573.1
MTCH,,Communication Services,Internet Content & Information,39.41
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,50.9
MCD,,Consumer Cyclical,Restaurants,270.64
MCK,,Healthcare,Medical Distribution,856.19
MDT,,Healthcare,Medical Devices,85.39
MRK,,Healthcare,Drug Manufacturers - General,130.2
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,556.71
MET,"MetLife, Inc.",Financial Services,Insurance - Life,96.13
MTD,,Healthcare,Diagnostics & Research,1416.3
MGM,,Consumer Cyclical,Resorts & Casinos,44.57
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,74.29
MU,,Technology,Semiconductors,823.03
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,464.72
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,132.34
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,54.82
MHK,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",123.1
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,41.56
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,62.31
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,1426.03
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,96.38
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,478.38
MS,Morgan Stanley,Financial Services,Capital Markets,210.42
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,22.12
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,435.75
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,572.24
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,94.19
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,178.5
NFLX,"Netflix, Inc.",Communication Services,Entertainment,71.71
NEM,Newmont Corporation,Basic Materials,Gold,93.71
NWSA,News Corporation,Communication Services,Entertainment,27.56
NWS,News Corporation,Communication Services,Entertainment,31.27
NEE,,Utilities,Utilities - Regulated Electric,86.92
